title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
The Holy Quran Colour Coded Tajweed Rules (Ref.23),Islamic Book Service,9788172316860,Quran,95,21,Arabic/English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413581/rewaya_books/x4ipgsmqxg4s8emhipz9.webp,24
The Holy Quran Colour Coded Tajweed Rules (Ref.126),Islamic Book Service,9789351690955,Quran,108,12,Arabic/English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413582/rewaya_books/hiwedwimebzersjf9qfw.webp,25
The Holy Quran Colour Coded Tajweed Rules,Abdulla Yusuf Ali,9788172317805,Quran,160,19,Arabic/English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413583/rewaya_books/kl7xtrt4qungdm3wiiom.webp,26
Holy Quran No 123 CC,IBS BOOK STORE PRIVATE LIMITED,9789351690986,Quran,65,29,Arabic,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413583/rewaya_books/gpjgozhtqx1uz9xwmqv0.webp,27
Holy Quran No 3 With Slip Box,IBS BOOK STORE PRIVATE LIMITED,9788172319908,Quran,130,8,English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413584/rewaya_books/cjvybt6xltlgrmvgsnqv.webp,28
The Quran; Translation & Study -Juz 30,Jamal-Un-Nisa Bint Rafai,9781897940358,Quran,55,6,English,,Holy Quran,TA HA PUBLISHERS LTD,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413585/rewaya_books/zzza16pov5ytcpcg1xrx.webp,29
The Easy Quran,Sheikh Dr. Saalim Al-Azhari,9781915357007,Quran,105,188,English,,Holy Quran,TA HA PUBLISHERS LTD,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413587/rewaya_books/dcoiyuerov4qfbmiv59c.webp,30
The Clear Quran Series Paperback,Dr. Musthafa Khattab,9780977300969,Quran,45,375,English,,Holy Quran,BSF BOOKS PUBLISHING LLC,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413588/rewaya_books/ka8q9rcidlnlbiz9picz.webp,31
The Quran (Filipino),Maulana Wahiduddin Khan,9789386589095,Quran,25,247,Filipino,,Holy Quran,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413589/rewaya_books/lhc867gsmj1eojrsduj5.webp,32
The Quran (Russian),Maulana Wahiduddin Khan,9789351791379,Quran,25,39,Russia,,Holy Quran,GOOD WORD BOOKS,https://res.cloudinary.com/dd3xuuch6/image/upload/v1788413590/rewaya_books/lctyf7khhdugopv0jifv.webp,33
