title,author,isbn,categoryName,price,stock,language,ribbon,description,publisher,coverImage,sortOrder
Holy Quran No 123 CC,IBS BOOK STORE PRIVATE LIMITED,9789351690986,Quran,65.0,29,Arabic,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_276d44f4dae24f08b60fe03a7e05418c~mv2.jpg,27
Holy Quran No 3 With Slip Box,IBS BOOK STORE PRIVATE LIMITED,9788172319908,Quran,130.0,8,English,,Holy Quran,IBS BOOK STORE PRIVATE LIMITED,https://static.wixstatic.com/media/52b5c8_c4932a2b536e4bdc96b9603cebcdf880~mv2.jpg,28
The Quran; Translation & Study -Juz 30,Jamal-Un-Nisa Bint Rafai,9781897940358,Quran,55.0,6,English,,Holy Quran,TA HA PUBLISHERS LTD,https://static.wixstatic.com/media/52b5c8_17e32c6b419242b9841ec016ba7102a6~mv2.jpg,29
The Easy Quran,Sheikh Dr. Saalim Al-Azhari,9781915357007,Quran,105.0,188,English,,Holy Quran,TA HA PUBLISHERS LTD,https://static.wixstatic.com/media/52b5c8_800775da957742cbac51674e7d672413~mv2.jpg,30
The Clear Quran Series Paperback,Dr. Musthafa Khattab,9780977300969,Quran,45.0,375,English,,Holy Quran,BSF BOOKS PUBLISHING LLC,https://static.wixstatic.com/media/52b5c8_46fcd13c9ad34d92a911d4d6cec823d9~mv2.jpg,31
The Quran (Filipino),Maulana Wahiduddin Khan,9789386589095,Quran,25.0,247,Filipino,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_e33dd0ccd0bc4349b2ade3d772f3f917~mv2.avif,32
The Quran (Russian),Maulana Wahiduddin Khan,9789351791379,Quran,25.0,39,Russia,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_08e64fd0e7444a258120fe4257e05557~mv2.jpg,33
The Quran (Korean),Maulana Wahiduddin Khan,9788194366348,Quran,25.0,47,Korean,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_485dc4ff54b44a7c80966854019ae353~mv2.avif,34
The Noble Quran,Abdalhaqq and Aisha Bewley,9781842001288,Quran,160.0,38,English,,Holy Quran,TA HA PUBLISHERS LTD,https://static.wixstatic.com/media/52b5c8_8bf108ea33bf4902bb385e19a361a290~mv2.jpg,35
The Quran (Medium Size),Abdullah Yusuf Ali,9789386589101,Quran,25.0,9,English,,Holy Quran,GOOD WORD BOOKS,https://static.wixstatic.com/media/52b5c8_ec6599d3235c463da8d1d3dfeb16b67d~mv2.jpg,36
